user_id,signup_date,signup_source,plan_type,country,industry
251a554b-4d21-430e-9ce6-f192bab09846,2025-09-11,organic,free,AU,Tech
1e24b07a-4dd4-4316-bcab-26479cd4ea0d,2026-05-15,referral,pro,US,Education
f30b870e-1838-41f8-bac7-2970f9dd3440,2026-02-26,paid_facebook,free,UK,Finance
7c240963-2b24-4302-88db-99a5278b3f2e,2025-09-15,organic,free,DE,Retail
2788f719-244f-4fce-9ad4-56e1381dc581,2025-08-11,paid_facebook,free,US,Finance
2717d072-ffbf-40b3-9407-3ba4a14bfbc6,2025-12-06,organic,free,US,Tech
c2afab2a-3b86-459a-9ebe-7688676f076b,2025-06-21,organic,free,FR,Retail
231c77a3-799d-43be-95cf-a69d3b4a9b8c,2025-09-11,paid_google,free,US,Healthcare
bd758f49-6ccc-4765-ad7d-edeab367090a,2025-09-30,paid_google,free,US,Finance
ab14970c-3239-4858-8b98-cc89ebdb9654,2026-01-01,organic,basic,US,Finance
b027d324-35df-465c-8f92-1ce11ecba6c0,2026-04-27,paid_google,free,US,Education
2f6904ed-4e6b-409d-a932-323b4bde6def,2025-08-27,direct,free,FR,Education
88e380f9-f178-43c0-b69d-af50a3db716d,2025-09-08,paid_facebook,free,US,Retail
931e68a9-cea9-4110-a49a-37698c2e0f29,2026-05-26,paid_facebook,free,AU,Healthcare
70d64d3a-d3a7-4446-9e34-a17bf0ebf782,2025-10-30,paid_facebook,pro,US,Education
3fc0a3cc-38fc-4f6c-a77d-401d0a2c0986,2025-10-09,paid_facebook,free,US,Finance
b7d1c9e7-8c76-4df1-8cad-ff8cabc43838,2025-10-28,organic,free,CA,Retail
b29c215a-3d4d-4d6f-ace3-c35fd15a29d4,2026-04-05,direct,free,FR,Education
017613bf-520d-488d-9c3d-a66082011a43,2026-02-13,referral,enterprise,US,Education
f69514a1-0a30-4aa0-a0ea-45093a798662,2026-05-10,organic,free,UK,Tech
73f0c97a-3f31-41cc-86fe-6e6d03766610,2026-03-21,paid_google,basic,US,Retail
c4632bfd-e6b9-435e-992b-e56f99082bdb,2025-12-09,paid_google,free,AU,Retail
508128fa-cb4c-419d-9ae4-59ae14ffab7d,2026-03-04,organic,pro,FR,Healthcare
8a917732-45c3-4344-aa43-980f668ef603,2025-11-08,organic,pro,CA,Education
bb5d0321-6d6f-4829-a2ee-415d396369a7,2026-04-10,organic,free,CA,Retail
927d49ea-e9e1-4d6a-bdb1-9c37765c757c,2025-06-22,referral,free,US,Healthcare
c21b7fd7-6e00-4eb6-8592-f9bd651cb23f,2026-02-08,organic,free,US,Education
34fa7431-6194-4f59-bd56-5c3b393ec3d4,2026-01-22,organic,free,US,Finance
113ffd53-33a2-4f0e-a590-9e1cbfc8ea78,2026-05-11,organic,free,US,Tech
75d53622-e802-42eb-bf5d-16d6aa919b06,2025-07-19,paid_facebook,free,IN,Healthcare
ee6c7a82-8576-4d03-979d-298ae8f3f7b4,2025-07-29,direct,free,US,Tech
a219c589-2a21-4506-9c8e-58826119e206,2025-11-17,paid_google,free,US,Finance
bd35140e-bdd4-4d7e-8aa0-e642ad75a595,2025-12-05,organic,free,DE,Retail
5a940b21-e7ef-4d10-9979-35e072b19120,2026-02-26,paid_google,free,FR,Education
59056d90-7680-44b5-88e5-5649e0d7ab56,2025-12-07,paid_facebook,free,UK,Retail
2d2edcd4-90e1-4684-8f33-3c8336f8583f,2025-11-22,paid_facebook,enterprise,UK,Tech
ca1978e4-5ef9-4719-8b08-731009a9d5fb,2025-07-21,paid_facebook,free,US,Retail
4f978efe-5d63-46ac-86fb-f8700546f571,2026-05-30,organic,basic,US,Retail
b96b8606-3d11-4e88-93cd-95cd9c2a3ce0,2025-07-25,organic,free,US,Healthcare
a263b3fa-3ca3-4744-b7fe-08bb1c6546e9,2026-01-30,organic,free,FR,Healthcare
4871d45b-ffbd-4cac-be1d-ff861ab13332,2026-04-16,direct,free,CA,Finance
7c43f2d4-7fea-4b54-90c1-ddf886f9bf3f,2025-10-09,paid_google,free,IN,Healthcare
b0ab5f55-6a40-411e-a3e5-427e21c42196,2026-04-03,paid_facebook,basic,US,Healthcare
04541114-e4d5-4a1f-90d9-5ed932345afa,2025-10-13,referral,basic,US,Healthcare
9348fbe2-e2be-468c-be71-95dd43031d02,2025-06-21,referral,free,US,Healthcare
b173d3c1-ae28-4368-aec1-cf4705a03cb8,2026-04-25,organic,enterprise,DE,Finance
0780b2f4-c670-4743-bd12-61c756b49ba6,2025-11-14,organic,free,US,Healthcare
60372e4e-7b00-4534-a365-f0b9f1ce5aca,2026-03-01,direct,enterprise,US,Healthcare
7c31c442-046a-4113-b179-62afb3f29f24,2025-08-28,direct,enterprise,US,Tech
32b73a0c-a28d-4fda-87bb-db14fc80f960,2026-04-12,paid_google,free,CA,Healthcare
cc39edb0-7e3b-4bdc-907a-91103927439d,2025-06-14,referral,free,UK,Finance
a323b92f-3a39-4bb3-b126-17920e8d3e45,2026-01-28,organic,free,UK,Finance
cf5701c8-8f6d-4bd7-b049-26c5c53411ed,2026-02-20,organic,basic,US,Retail
2b80c876-5ec7-40f2-a49f-72384b88776e,2026-05-12,paid_google,free,UK,Healthcare
f627e3ce-abb8-4da4-9041-d059da31cec5,2025-07-23,referral,enterprise,UK,Education
c4d23623-f23a-4989-b0b9-cd30508e8349,2026-05-06,paid_facebook,basic,FR,Retail
d277c8ed-907d-4275-9f26-c6847add1a6b,2025-08-31,paid_google,free,US,Finance
64874765-f5da-4920-844e-e6120b3c477f,2026-02-19,organic,free,FR,Retail
602d8aaf-045b-4ff1-9858-ea635cdd0ebf,2025-07-05,organic,basic,UK,Education
ece1f033-17d8-4ebb-a0c0-235c1cfbab78,2025-12-23,direct,free,US,Tech
75dbbf07-2bb3-442b-9664-17bcc0390dd1,2025-08-20,organic,basic,CA,Education
fefb5eea-8fe6-4af0-bc91-5ef81ec9e260,2025-07-20,paid_facebook,free,UK,Retail
85672d9d-08fc-4899-bfa0-6aff4f3e7611,2026-05-26,paid_facebook,free,US,Healthcare
e46e123d-600e-4bb0-a652-bb8b6ccbc1fa,2025-06-02,paid_facebook,free,CA,Tech
d7058a62-0b30-45ce-a60e-fca0459d927c,2025-07-24,direct,basic,UK,Education
5284b27e-2345-4100-86ca-73262cb0d278,2025-09-14,paid_google,free,CA,Healthcare
3b582437-bbe8-4880-b2fd-b18f2f34bafc,2026-02-15,paid_facebook,basic,CA,Education
91b5ebe3-8449-4536-96cc-0f800a569667,2026-04-06,organic,free,UK,Finance
a9c0c49c-77d8-4ec7-bfd7-71d50ceb1aae,2025-12-08,organic,basic,US,Healthcare
1af633f0-72ff-4c10-9115-fa9af89880c9,2026-01-04,paid_google,free,US,Finance
71cf5c92-11a1-45e3-a110-6956f844f924,2025-07-14,organic,free,UK,Tech
b9a559f4-5962-4b12-bbc7-72807d1b9763,2025-11-09,direct,basic,US,Tech
b88c4cc0-6a9c-4b30-a679-bb62d6c9cbd3,2025-12-19,paid_facebook,free,US,Tech
e14024e7-2c52-41fc-a1a3-e87d61c73722,2026-02-25,organic,free,US,Tech
04f2dc20-8b18-4db4-9bc4-4b37088970b1,2026-05-17,organic,free,US,Finance
9a62e8bf-8a79-48d3-a77b-5d14b75c68ce,2026-03-31,organic,basic,UK,Finance
af28674e-17f8-4067-9efd-4c3cef7a8c56,2026-02-26,paid_google,pro,UK,Retail
8212b594-c77d-4778-8922-c64d8732d6f9,2026-01-01,referral,free,IN,Retail
5d3b10ac-6783-4c32-953d-3ab8ca440cb5,2026-02-07,paid_google,free,US,Finance
eb068e6c-5def-4c25-b16b-126242e6d64d,2025-12-07,organic,basic,US,Tech
72a60d8b-2e7e-4aab-8a1b-369e5627d9f9,2026-03-23,organic,free,CA,Retail
a604c4ba-19fa-494a-9218-5a116c405538,2025-12-30,organic,pro,FR,Healthcare
8dcec524-2d6b-4c17-bba4-97772da28a0f,2025-12-25,paid_google,free,FR,Finance
