user_id,feature_name,first_used_date,times_used_30d
251a554b-4d21-430e-9ce6-f192bab09846,dashboard,2025-09-20,32
251a554b-4d21-430e-9ce6-f192bab09846,api_access,2025-09-21,14
251a554b-4d21-430e-9ce6-f192bab09846,automations,2025-09-15,12
1e24b07a-4dd4-4316-bcab-26479cd4ea0d,dashboard,2026-05-23,41
7c240963-2b24-4302-88db-99a5278b3f2e,reports,2025-09-21,1
7c240963-2b24-4302-88db-99a5278b3f2e,integrations,2025-09-25,15
7c240963-2b24-4302-88db-99a5278b3f2e,dashboard,2025-09-23,28
7c240963-2b24-4302-88db-99a5278b3f2e,api_access,2025-09-16,14
7c240963-2b24-4302-88db-99a5278b3f2e,automations,2025-09-21,42
2788f719-244f-4fce-9ad4-56e1381dc581,automations,2025-08-16,14
c2afab2a-3b86-459a-9ebe-7688676f076b,integrations,2025-06-23,46
c2afab2a-3b86-459a-9ebe-7688676f076b,reports,2025-06-23,44
c2afab2a-3b86-459a-9ebe-7688676f076b,api_access,2025-06-24,38
c2afab2a-3b86-459a-9ebe-7688676f076b,automations,2025-06-23,10
231c77a3-799d-43be-95cf-a69d3b4a9b8c,api_access,2025-09-21,20
231c77a3-799d-43be-95cf-a69d3b4a9b8c,automations,2025-09-15,23
ab14970c-3239-4858-8b98-cc89ebdb9654,dashboard,2026-01-11,44
ab14970c-3239-4858-8b98-cc89ebdb9654,api_access,2026-01-09,30
ab14970c-3239-4858-8b98-cc89ebdb9654,automations,2026-01-02,25
b027d324-35df-465c-8f92-1ce11ecba6c0,automations,2026-05-07,13
b027d324-35df-465c-8f92-1ce11ecba6c0,integrations,2026-04-28,42
2f6904ed-4e6b-409d-a932-323b4bde6def,dashboard,2025-09-04,34
2f6904ed-4e6b-409d-a932-323b4bde6def,integrations,2025-09-05,25
2f6904ed-4e6b-409d-a932-323b4bde6def,api_access,2025-08-30,3
2f6904ed-4e6b-409d-a932-323b4bde6def,reports,2025-09-03,34
88e380f9-f178-43c0-b69d-af50a3db716d,automations,2025-09-10,33
88e380f9-f178-43c0-b69d-af50a3db716d,api_access,2025-09-09,17
88e380f9-f178-43c0-b69d-af50a3db716d,integrations,2025-09-17,44
88e380f9-f178-43c0-b69d-af50a3db716d,dashboard,2025-09-18,22
88e380f9-f178-43c0-b69d-af50a3db716d,reports,2025-09-18,13
70d64d3a-d3a7-4446-9e34-a17bf0ebf782,dashboard,2025-11-03,49
70d64d3a-d3a7-4446-9e34-a17bf0ebf782,reports,2025-11-06,24
70d64d3a-d3a7-4446-9e34-a17bf0ebf782,api_access,2025-11-01,28
70d64d3a-d3a7-4446-9e34-a17bf0ebf782,integrations,2025-11-04,37
70d64d3a-d3a7-4446-9e34-a17bf0ebf782,automations,2025-11-09,33
3fc0a3cc-38fc-4f6c-a77d-401d0a2c0986,integrations,2025-10-16,10
017613bf-520d-488d-9c3d-a66082011a43,dashboard,2026-02-19,42
f69514a1-0a30-4aa0-a0ea-45093a798662,reports,2026-05-12,48
73f0c97a-3f31-41cc-86fe-6e6d03766610,dashboard,2026-03-25,34
73f0c97a-3f31-41cc-86fe-6e6d03766610,integrations,2026-03-23,4
c4632bfd-e6b9-435e-992b-e56f99082bdb,api_access,2025-12-18,8
c4632bfd-e6b9-435e-992b-e56f99082bdb,reports,2025-12-18,20
c4632bfd-e6b9-435e-992b-e56f99082bdb,integrations,2025-12-15,11
c4632bfd-e6b9-435e-992b-e56f99082bdb,dashboard,2025-12-14,31
c4632bfd-e6b9-435e-992b-e56f99082bdb,automations,2025-12-19,35
508128fa-cb4c-419d-9ae4-59ae14ffab7d,integrations,2026-03-05,4
508128fa-cb4c-419d-9ae4-59ae14ffab7d,dashboard,2026-03-14,36
8a917732-45c3-4344-aa43-980f668ef603,reports,2025-11-09,38
8a917732-45c3-4344-aa43-980f668ef603,dashboard,2025-11-18,41
8a917732-45c3-4344-aa43-980f668ef603,integrations,2025-11-11,21
8a917732-45c3-4344-aa43-980f668ef603,api_access,2025-11-11,10
8a917732-45c3-4344-aa43-980f668ef603,automations,2025-11-18,49
bb5d0321-6d6f-4829-a2ee-415d396369a7,reports,2026-04-14,44
bb5d0321-6d6f-4829-a2ee-415d396369a7,dashboard,2026-04-16,49
bb5d0321-6d6f-4829-a2ee-415d396369a7,automations,2026-04-13,48
bb5d0321-6d6f-4829-a2ee-415d396369a7,api_access,2026-04-20,37
bb5d0321-6d6f-4829-a2ee-415d396369a7,integrations,2026-04-12,32
927d49ea-e9e1-4d6a-bdb1-9c37765c757c,reports,2025-06-26,5
927d49ea-e9e1-4d6a-bdb1-9c37765c757c,automations,2025-06-25,6
34fa7431-6194-4f59-bd56-5c3b393ec3d4,api_access,2026-01-30,37
34fa7431-6194-4f59-bd56-5c3b393ec3d4,dashboard,2026-01-31,2
113ffd53-33a2-4f0e-a590-9e1cbfc8ea78,automations,2026-05-21,11
113ffd53-33a2-4f0e-a590-9e1cbfc8ea78,dashboard,2026-05-17,7
75d53622-e802-42eb-bf5d-16d6aa919b06,integrations,2025-07-23,7
75d53622-e802-42eb-bf5d-16d6aa919b06,dashboard,2025-07-29,10
75d53622-e802-42eb-bf5d-16d6aa919b06,reports,2025-07-27,20
75d53622-e802-42eb-bf5d-16d6aa919b06,api_access,2025-07-24,48
ee6c7a82-8576-4d03-979d-298ae8f3f7b4,reports,2025-07-30,48
ee6c7a82-8576-4d03-979d-298ae8f3f7b4,automations,2025-08-05,26
ee6c7a82-8576-4d03-979d-298ae8f3f7b4,dashboard,2025-08-01,46
ee6c7a82-8576-4d03-979d-298ae8f3f7b4,integrations,2025-08-01,37
a219c589-2a21-4506-9c8e-58826119e206,dashboard,2025-11-27,50
a219c589-2a21-4506-9c8e-58826119e206,reports,2025-11-24,6
a219c589-2a21-4506-9c8e-58826119e206,automations,2025-11-18,24
a219c589-2a21-4506-9c8e-58826119e206,api_access,2025-11-20,18
a219c589-2a21-4506-9c8e-58826119e206,integrations,2025-11-27,11
bd35140e-bdd4-4d7e-8aa0-e642ad75a595,dashboard,2025-12-10,18
5a940b21-e7ef-4d10-9979-35e072b19120,reports,2026-03-06,27
5a940b21-e7ef-4d10-9979-35e072b19120,dashboard,2026-02-28,32
5a940b21-e7ef-4d10-9979-35e072b19120,api_access,2026-02-27,21
5a940b21-e7ef-4d10-9979-35e072b19120,automations,2026-03-07,16
59056d90-7680-44b5-88e5-5649e0d7ab56,dashboard,2025-12-13,1
59056d90-7680-44b5-88e5-5649e0d7ab56,integrations,2025-12-12,45
ca1978e4-5ef9-4719-8b08-731009a9d5fb,integrations,2025-07-24,25
ca1978e4-5ef9-4719-8b08-731009a9d5fb,dashboard,2025-07-27,42
4f978efe-5d63-46ac-86fb-f8700546f571,integrations,2026-06-04,20
4f978efe-5d63-46ac-86fb-f8700546f571,dashboard,2026-06-08,24
a263b3fa-3ca3-4744-b7fe-08bb1c6546e9,automations,2026-02-06,7
4871d45b-ffbd-4cac-be1d-ff861ab13332,automations,2026-04-17,12
4871d45b-ffbd-4cac-be1d-ff861ab13332,reports,2026-04-26,43
4871d45b-ffbd-4cac-be1d-ff861ab13332,dashboard,2026-04-25,4
7c43f2d4-7fea-4b54-90c1-ddf886f9bf3f,reports,2025-10-17,50
7c43f2d4-7fea-4b54-90c1-ddf886f9bf3f,automations,2025-10-10,15
7c43f2d4-7fea-4b54-90c1-ddf886f9bf3f,api_access,2025-10-16,4
7c43f2d4-7fea-4b54-90c1-ddf886f9bf3f,integrations,2025-10-18,37
7c43f2d4-7fea-4b54-90c1-ddf886f9bf3f,dashboard,2025-10-15,49
b0ab5f55-6a40-411e-a3e5-427e21c42196,integrations,2026-04-10,48
b0ab5f55-6a40-411e-a3e5-427e21c42196,api_access,2026-04-05,38
04541114-e4d5-4a1f-90d9-5ed932345afa,dashboard,2025-10-16,25
